name	@lat	@lon
Biggar	55.6244917	-3.5215795
Glasgow	55.8611550	-4.2501687
Bearsden	55.9204610	-4.3332046
Milngavie	55.9410791	-4.3178027
Ayr	55.4628044	-4.6302502
Balloch	56.0040003	-4.5788823
Paisley	55.8455828	-4.4239646
Largs	55.7948829	-4.8695014
Linlithgow	55.9771670	-3.6006234
Falkirk	55.9991959	-3.7843760
Helensburgh	56.0033464	-4.7342935
Dumbarton	55.9432443	-4.5708479
Kilmarnock	55.6100589	-4.4964652
Lennoxtown	55.9731494	-4.1992427
Port Glasgow	55.9342865	-4.6898540
Greenock	55.9473423	-4.7564721
Kilwinning	55.6540048	-4.6992011
Saltcoats	55.6332429	-4.7887547
Giffnock	55.8048318	-4.2946743
Airdrie	55.8661181	-3.9804785
Bathgate	55.9009224	-3.6414828
Ardrossan	55.6400504	-4.8148569
Prestwick	55.4982802	-4.6113017
Denny	56.0237411	-3.9081978
Bonnybridge	56.0014357	-3.8876642
Stenhousemuir	56.0258265	-3.8163132
Grangemouth	56.0189027	-3.7230303
Bo'ness	56.0176867	-3.6073601
East Kilbride	55.7605737	-4.1776630
West Kilbride	55.6947934	-4.8572629
Linwood	55.8481367	-4.4886461
Coatbridge	55.8624894	-4.0259894
Bellshill	55.8189311	-4.0225794
Motherwell	55.7893512	-3.9904173
Wishaw	55.7743458	-3.9184134
Chapelhall	55.8445286	-3.9483020
Gartcosh	55.8887820	-4.0826367
Uddingston	55.8189907	-4.0821743
Viewpark	55.8260244	-4.0606131
Bothwell	55.8026551	-4.0676955
Holytown	55.8212588	-3.9767761
New Stevenston	55.8127811	-3.9777472
Larkhall	55.7401064	-3.9746052
Stonehouse	55.6982283	-3.9813873
Galston	55.6004099	-4.3797457
Neilston	55.7846716	-4.4263461
Livingston	55.8829582	-3.5175773
Strathaven	55.6765140	-4.0658238
Kirkmuirhill	55.6661502	-3.9197243
Newmains	55.7828371	-3.8790785
Shotts	55.8196688	-3.8073229
Carluke	55.7343202	-3.8382548
Whitburn	55.8667819	-3.6849014
Newarthill	55.8140828	-3.9420256
Blackburn	55.8712745	-3.6227367
Moodiesburn	55.9136347	-4.0844767
Fauldhouse	55.8275611	-3.7071618
Cumbernauld	55.9477764	-3.9882568
Kilsyth	55.9765389	-4.0559704
Barrhead	55.8011027	-4.3899826
Lenzie	55.9219552	-4.1528178
Stewarton	55.6802650	-4.5153023
Kilbirnie	55.7551369	-4.6854587
Beith	55.7507054	-4.6327829
Gourock	55.9620009	-4.8178728
Blantyre	55.7935224	-4.0923109
Erskine	55.9042117	-4.4492326
Clydebank	55.9026837	-4.4034151
Kirkintilloch	55.9383914	-4.1549049
Dalry	55.7084782	-4.7200896
Johnstone	55.8365170	-4.5122831
Lanark	55.6736271	-3.7780361
Larbert	56.0214170	-3.8306342
Stepps	55.8908967	-4.1459802
Mauchline	55.5159992	-4.3790696
Cumnock	55.4540605	-4.2660965
Bishopbriggs	55.9043937	-4.2248574
Renfrew	55.8775733	-4.3888761
Rutherglen	55.8284315	-4.2134405
Darvel	55.6097195	-4.2818359
Newmilns	55.6075216	-4.3244825
Troon	55.5437893	-4.6639060
Clarkston	55.7892615	-4.2762251
Cambuslang	55.8191936	-4.1685904
Alexandria	55.9878736	-4.5822088
Lesmahagow	55.6391875	-3.8865415
Hamilton	55.7759095	-4.0334420
Bishopton	55.9101101	-4.5101425
Irvine	55.6131309	-4.6696399
Stevenston	55.6405878	-4.7568140
Elderslie	55.8367907	-4.4840585
Bonhill	55.9816349	-4.5733016
Newton Mearns	55.7726726	-4.3342366
Alloway	55.4330064	-4.6329863
Thornliebank	55.8072481	-4.3167110
Armadale	55.8987670	-3.7001955
